feature,completeness,mi_subtype,mi_stage,score
NP3RTCON,0.961038961038961,0.5759262174868574,0.09776737859588103,0.47098984017477485
NP3TOT,0.9485157699443414,0.18232771008391224,0.5440201132978206,0.36745423703412766
NP3TOT_ON,0.5686456400742115,0.13038467001030862,0.28436057819055627,0.2204035394707732
NP3RTARU,0.961038961038961,0.17167735147732377,0.06674140500245418,0.2191327284910266
MSEADLG,0.9814471243042672,0.08073060172254354,0.1798097192128525,0.20052598922780857
NP3LGAGR,0.961038961038961,0.060353394189452514,0.21510510126101412,0.19684746299587186
NP3LGAGL,0.961038961038961,0.08054519137487537,0.173951134234537,0.19661635119918242
NP2PTOT,0.9837662337662337,0.06041908366873172,0.18209712830850755,0.18925721207041468
NP3RISNG,0.961038961038961,0.0686814483881295,0.16141681277645148,0.18573780896970926
NP3RTALU,0.961038961038961,0.1273034044184871,0.042802760365598935,0.18532676686466804
NP3GAIT,0.961038961038961,0.06537556694709501,0.16178578143970235,0.18386497070406382
NP3TTAPR,0.9601113172541744,0.043552627660160326,0.1911627426309428,0.17949153111079647
NP2TRMR,0.9842300556586271,0.11264815660866523,0.03906008608806388,0.177729925357481
NP3FTAPL,0.9605751391465677,0.05098960142363329,0.170199995329801,0.17771127336777706
NP3TTAPL,0.9601113172541744,0.05332079930262723,0.16560331405170547,0.17768460552250542
NP3BRADY,0.961038961038961,0.03497626297579415,0.19225266906676364,0.17476545460940168
NP3FACXP,0.961038961038961,0.04678529663829689,0.13904959458714572,0.16588995246301796
NP3TOT_OFF,0.4230055658627087,0.11100485137969152,0.18825015431314274,0.16537851370802858
NHY,0.9601113172541744,0.046723966717724386,0.1306739830105501,0.16324770665921712
NP3RIGN,0.961038961038961,0.0506639122781658,0.11125693347360155,0.15987932351287604
NP3PRSPR,0.961038961038961,0.04142364048732183,0.1282811471522214,0.15944242454195562
NP3POSTR,0.961038961038961,0.04318499455903324,0.1157280878919762,0.15673331920690892
NP3PRSPL,0.9605751391465677,0.032946212750723625,0.13421296242753478,0.15608913029335136
NP3HMOVL,0.9605751391465677,0.02974934832777376,0.1361838194588305,0.1547622687489702
NP2HYGN,0.9842300556586271,0.04324478803776022,0.09671737221058763,0.15338509005169512
NP3RIGRL,0.961038961038961,0.037838348734746896,0.11021121530480293,0.15187026993618513
NP3RIGLU,0.961038961038961,0.05355693162854713,0.07830201540967696,0.15172865970392746
NP3HMOVR,0.961038961038961,0.029471405841823284,0.12211489494291783,0.15042120809186543
NP3RIGLL,0.9605751391465677,0.04631605775597758,0.08012315060990005,0.14788409375121334
NP2DRES,0.9842300556586271,0.03865424092483538,0.08637616934791303,0.14752840092513786
NP2HOBB,0.9842300556586271,0.03402031671792716,0.09024290381603528,0.1459080667414296
NP3PSTBL,0.9591836734693877,0.0340918890825288,0.09641268763756816,0.1452973070877265
DVT_SDM,0.963821892393321,0.032542040482029355,0.09746907964902185,0.14514813742325627
NP2RISE,0.9842300556586271,0.035218541652510815,0.084754456268203,0.1449804674378301
NP2TURN,0.9837662337662337,0.03923897977748614,0.07425853484085643,0.144197571695372
NP3KTRMR,0.961038961038961,0.035373183593971014,0.088358854832844,0.14383546271013192
NP3FTAPR,0.961038961038961,0.01410297415143802,0.12700829800118285,0.14266816999511378
NP2WALK,0.9837662337662337,0.03543361468447337,0.07620612213213196,0.14249862882694697
SCOPA_AUT_TOTAL,0.9823747680890538,0.021663965324251855,0.08452951403024667,0.1365947102125305
NP1RTOT,0.9833024118738405,0.03201223943264364,0.06174481543918553,0.1360610294787259
DVSD_SDM,0.963821892393321,0.015490271471673589,0.09507452783577452,0.1341987104730686
ESS_TOTAL,0.9819109461966605,0.03240640463898692,0.050744983819675404,0.13285843254896085
NP3SPCH,0.961038961038961,0.014096225431943443,0.09423052097132523,0.13283078765445974
SCOPA_SCAU15,0.9819109461966605,0.031080548357065307,0.049509755707417114,0.1316923503461304
NP3FRZGT,0.9605751391465677,0.0325685505307014,0.053570712516538777,0.13166985798803926
NP3RIGRU,0.961038961038961,0.038309396816352814,0.04078301327778,0.1313244381770418
NP2EAT,0.9842300556586271,0.018435783973674624,0.06576820971207287,0.12921493886368934
NP3RTALL,0.961038961038961,0.047059199854824874,0.013591640993108278,0.12841690831472352
NP3RTARL,0.961038961038961,0.04790436413018839,0.00965227637810262,0.1277421974954399
NP1COG,0.9833024118738405,0.027232581070063322,0.04174373092337902,0.12719290910643574
VITAL_SYSSTND_y,0.9670686456400742,0.017243169134383063,0.06631399300276986,0.12694696394546823
MCATOT,0.9670686456400742,0.025451547937527463,0.04924470672314385,0.12675120534346707
VITAL_DIASTND_y,0.9670686456400742,0.01620239011199809,0.06655533507643963,0.12639489915413815
SCOPA_SCAU16,0.9823747680890538,0.010843531452079391,0.07054430443689874,0.12590688701122263
SCOPA_SCAU9,0.9819109461966605,0.014593577827826332,0.06224492927948333,0.12562072010020686
NP1APAT,0.9833024118738405,0.024470597776660385,0.04129900063420866,0.1254023000436429
NP2HWRT,0.9842300556586271,0.01640818128673538,0.05672581063385085,0.1252856575280592
SCOPA_SCAU2,0.9823747680890538,0.01487739434703328,0.06008093421210958,0.12518819368075823
NP2FREZ,0.9842300556586271,0.021949608561217415,0.04422876609418669,0.12486140053084917
VITAL_SYSSUP_x,0.9698515769944341,0.027799766746859245,0.03728027609147322,0.12484910057500093
VITAL_WGTKG_y,0.9675324675324676,0.019817229542022474,0.053925450558130805,0.12482121964589948
VITAL_HRSTND_y,0.9661410018552876,0.012980859450639315,0.06765725332537453,0.12469979185352471
NP3PTRMR,0.961038961038961,0.04218512956911957,0.010130623529112981,0.12445416090410175
NP2SALV,0.9842300556586271,0.017701502248020917,0.05018102115278733,0.12409821326051146
VITAL_DIASTND_x,0.9670686456400742,0.025604144820074115,0.0371313260565751,0.12320874927302441
RBDSQ_TOTAL,0.9833024118738405,0.0,0.07987517728161375,0.12229279437186817
NP2SPCH,0.9842300556586271,0.0072072218184531245,0.06373075050750199,0.12186656380918517
NP1HALL,0.9833024118738405,0.016486126037311033,0.040111094209867915,0.12025524507273104
VITAL_SYSSTND_x,0.9670686456400742,0.004113247871110115,0.06937261601460776,0.11998659809105583
GDSHLPLS,0.9795918367346939,0.022277829663740256,0.028356498534865437,0.11983283103217318
SCOPA_SCAU8,0.9819109461966605,0.020949945934603642,0.029899250766127317,0.11973083741026644
COGSTATE,0.9267161410018553,0.020138260138495845,0.04881413963736758,0.11939881207449332
RBDSQ_MVAWAKEN,0.9833024118738405,0.0036256691762968085,0.06211961738906169,0.11914152790988064
SCOPA_SCAU14,0.9814471243042672,0.023961275281106476,0.02194268831121793,0.11910428409245598
VITAL_HTCM_y,0.9684601113172542,0.015527776633966095,0.039112704808780485,0.11789648855473922
RBDSQ_NARCLPSY,0.9833024118738405,0.026789033375591575,0.01134133585320729,0.11780606196870119
SCOPA_SCAU1,0.9819109461966605,0.014537567839700616,0.030699791589194447,0.11612357280024477
MCAVFNUM,0.9675324675324676,0.0,0.06379734416046468,0.11589245000138616
MCAABSTR,0.9670686456400742,0.02169049284237423,0.019385151888505092,0.1155367058359835
ESS_ESS8,0.9814471243042672,0.015760944832058366,0.025861575151006733,0.11535975187496375
MCAVF,0.9675324675324676,0.008281779724819582,0.04530532824204325,0.11531391306075148
QUIP_TMDISMED,0.9819109461966605,0.027549820383458323,0.0,0.11472098684974105
VITAL_WGTKG_x,0.9675324675324676,0.002561712183640319,0.0534272453547171,0.11431844766984608
QUIP_SEX_POS,0.9819109461966605,0.006674589637831518,0.040155768843215256,0.11424257905532956
QUIP_CNTRLSEX,0.9814471243042672,0.009878585764288905,0.033705230572584455,0.1141834330607754
ESS_ESS4,0.9819109461966605,0.023445069396792473,0.0056618791628375575,0.1139567000065928
GDSDROPD,0.9795918367346939,0.022137113854219903,0.00854961245581265,0.11380633572274514
NP2SWAL,0.9842300556586271,0.01553759220235107,0.019068420213835147,0.11346608695142389
FEATCOGFLC,0.897495361781076,0.016767532719605516,0.044406482975571926,0.11313200070254249
SCOPA_SCAU4,0.9823747680890538,0.009923186773533654,0.029670743633220198,0.11309261196299163
