feature,real_mean,real_std,gen_mean,gen_std,abs_mean_gap,abs_std_gap
NP3RTCON,1.2940412,1.320756,3.5823927,1.4000818,2.2883515,0.079325795
NP3TOT,23.535929,11.587091,50.45383,18.054636,26.917902,6.4675446
NP3TOT_ON,19.343847,8.517866,7.675159,15.279182,11.668688,6.7613163
NP3RTARU,0.6585054,1.0039961,2.691254,1.0543691,2.0327485,0.05037296
MSEADLG,89.201904,9.8874445,95.76327,13.902042,6.561363,4.014598
NP3LGAGR,0.5623681,0.74633306,0.30029485,1.049007,0.26207325,0.302674
NP3LGAGL,0.75896835,0.83124876,0.30148375,1.0505908,0.4574846,0.219342
NP2PTOT,8.162663,5.8231525,24.130089,9.375702,15.967425,3.5525494
NP3RISNG,0.27872315,0.60029614,2.669966,1.0457886,2.3912427,0.4454925
NP3RTALU,0.53422064,0.8630123,0.30032903,1.0511456,0.2338916,0.18813324
NP3GAIT,0.82166874,0.68326867,0.3037022,1.048996,0.5179665,0.3657273
NP3TTAPR,0.9873828,0.8975621,0.3039951,1.0535731,0.68338776,0.15601104
NP2TRMR,1.1004978,0.7680429,2.6896513,1.0507758,1.5891534,0.28273284
NP3FTAPL,1.1588907,0.95251256,0.30339977,1.0536311,0.8554909,0.101118505
NP3TTAPL,1.1605403,0.95106,2.6952908,1.0546225,1.5347505,0.103562534
NP3BRADY,1.3210409,0.80888516,2.6887968,1.0505493,1.3677559,0.24166411
NP3FACXP,1.2116597,0.769012,2.6881669,1.05046,1.4765072,0.281448
NP3TOT_OFF,26.624844,8.154363,50.001553,16.317833,23.376709,8.16347
NHY,1.8439971,0.5320762,2.7996655,0.7065022,0.95566833,0.17442602
NP3RIGN,0.8830794,0.8687443,2.6842906,1.0498955,1.8012112,0.18115121
NP3PRSPR,0.89030695,0.85213697,0.30133522,1.0509634,0.58897173,0.19882643
NP3POSTR,0.8072817,0.7992736,2.6870909,1.051649,1.8798091,0.25237536
NP3PRSPL,0.98560816,0.9186476,2.6920464,1.0529786,1.7064383,0.13433105
NP3HMOVL,1.0064949,0.90193576,0.30385062,1.0511881,0.7026442,0.14925236
NP2HYGN,0.37849715,0.5774561,1.7966255,0.70594054,1.4181284,0.12848443
NP3RIGRL,0.67783153,0.84524816,2.6809728,1.0495101,2.0031414,0.20426196
NP3RIGLU,0.9781026,0.856534,2.6827471,1.0490752,1.7046444,0.19254124
NP3HMOVR,0.91974103,0.85076517,0.30228317,1.0514185,0.61745787,0.20065337
NP3RIGLL,0.66132903,0.8555073,0.30027667,1.0510355,0.36105236,0.19552821
NP2DRES,0.6611892,0.7191724,2.6731145,1.0460993,2.0119252,0.3269269
NP2HOBB,0.6650986,0.85065645,3.5681722,1.3944205,2.9030735,0.54376405
NP3PSTBL,0.22203445,0.627507,0.29989243,1.051638,0.07785797,0.42413104
