Ensemble,k,N,N_biomarkers,BIC,AIC,Silhouette,Balance,Biggest_S%,Smallest_S%
A_Motor,3,1042,5,-133168.2734153586,-135182.47458484012,0.30718589801876406,0.467865892322282,85.22072936660268,5.08637236084453
A_Motor,4,1042,5,-141490.1606117156,-144177.41180343172,0.3463443619437747,0.3921547781934152,84.74088291746641,0.4798464491362764
A_Motor,5,1042,5,-150899.27467248452,-154259.57588643525,0.26974582256888036,0.39440909830826865,84.06909788867563,1.1516314779270633
A_Motor,6,1042,5,-159023.72319811597,-163057.07443430132,0.30971709992175855,0.3707809190796349,83.58925143953935,0.4798464491362764
B_Full_Subscores,3,1017,17,-311776.96620933275,-332130.38924220146,0.2555607594262395,0.49919778343492677,83.57915437561455,5.11307767944936
B_Full_Subscores,4,1017,17,-323258.52970170387,-350398.0686163275,0.15972868458284822,0.5614419358418753,73.6479842674533,2.6548672566371683
B_Full_Subscores,5,1017,17,-315492.5060250484,-349418.1608214269,0.10671188119528877,0.6556365776794066,67.64995083579154,4.424778761061947
B_Full_Subscores,6,1017,17,-338321.53703255963,-379033.3077106931,0.12633655685977851,0.6567228638712325,61.25860373647984,1.966568338249754
C_Mixed,3,1018,12,-252290.15680907088,-262673.31148457975,0.18457884415859105,0.6302939831405638,77.30844793713163,10.707269155206287
C_Mixed,4,1018,12,-251286.3828925065,-265132.230991584,0.15425257281641197,0.7963472762166651,58.7426326129666,9.332023575638507
C_Mixed,5,1018,12,-248633.9552130433,-265942.49673568946,0.16570274917568023,0.7052401023057304,64.53831041257368,6.581532416502947
C_Mixed,6,1018,12,-257536.66513180983,-278307.90007802466,0.13917452679263093,0.7036091351059293,58.153241650294696,2.2593320235756384
Global_Scores,3,885,8,-132196.51233313204,-136857.67469936976,0.14022721423454773,0.8515802452573519,61.016949152542374,16.949152542372882
Global_Scores,4,885,8,-137557.64149023488,-143774.11984110018,0.20838973893463406,0.660758504924751,70.62146892655367,6.553672316384181
Global_Scores,5,885,8,-143774.14313673196,-151545.93747222485,0.26593046362908856,0.5186794790196374,76.94915254237289,2.146892655367232
Global_Scores,6,885,8,-141666.09086368815,-150993.20118380862,0.1167184883677744,0.6884229850205948,61.69491525423729,2.2598870056497176
